Date,Open,High,Low,Close,Adj Close,Volume,num,car_sales,NVDA,Industrial_metal
2019-04-30,85.48999786376953,86.13999938964844,84.54000091552734,85.69999694824219,84.8194580078125,1365900,0,17.14218286865509,45.25,341.12855459560535
2019-05-01,85.9800033569336,86.1500015258789,83.55999755859375,83.63999938964844,82.78062438964844,1530800,1,17.220734426410385,45.11750030517578,339.6197106269602
2019-05-02,75.01000213623047,80.41000366210938,74.0199966430664,79.77999877929688,78.96028137207031,2929500,2,16.953927719893176,45.79750061035156,340.9198104264749
2019-05-03,79.58999633789062,80.66000366210938,78.81999969482422,80.18000030517578,79.3561782836914,1471400,3,16.609278428860723,45.752498626708984,338.93054421385466
2019-05-06,77.9000015258789,79.94000244140625,77.31999969482422,79.69999694824219,78.88111114501953,1776800,4,17.126045115844597,44.962501525878906,338.8184961358782
2019-05-07,78.30999755859375,79.58000183105469,78.05999755859375,79.43000030517578,78.83148956298828,2438000,5,17.14307269744606,43.27750015258789,336.59600472538955
2019-05-08,79.41999816894531,80.83999633789062,79.22000122070312,79.72000122070312,79.11930847167969,1831300,6,17.37641971882086,43.47999954223633,337.6870047048952
2019-05-09,77.94999694824219,78.5199966430664,76.13999938964844,77.91000366210938,77.32294464111328,1868500,7,17.120108419515216,42.54750061035156,334.86406919487024
2019-05-10,77.30000305175781,78.0,75.75,77.2300033569336,76.6480712890625,1218900,8,17.082180213119045,42.20500183105469,335.4062951032472
2019-05-13,75.33999633789062,75.41000366210938,72.61000061035156,73.30999755859375,72.75759887695312,2186600,9,17.59786786748543,39.61249923706055,334.71968246152665
2019-05-14,73.83000183105469,75.2300033569336,73.44999694824219,74.7300033569336,74.16690826416016,1241100,10,17.49888413041559,40.5099983215332,332.30662316837777
2019-05-15,73.75,75.62000274658203,72.69000244140625,75.04000091552734,74.47457122802734,1646000,11,17.453976910677042,39.89500045776367,327.7641487570735
2019-05-16,75.30999755859375,75.31999969482422,73.5,73.70999908447266,73.15458679199219,1998400,12,17.557199218561387,40.04750061035156,326.99379697803374
2019-05-17,73.29000091552734,74.61000061035156,73.16000366210938,73.6500015258789,73.09503936767578,1616400,13,17.654772961559075,39.13249969482422,328.08304848870057
2019-05-20,72.77999877929688,73.48999786376953,72.33000183105469,72.7300033569336,72.18197631835938,1322300,14,17.57485362735749,37.9375,326.9195126618947
2019-05-21,73.25,73.66000366210938,72.30999755859375,72.37999725341797,71.83460998535156,1158400,15,17.310699802333126,38.76499938964844,325.230836284892
