DATE,DATA
17/04/2020,273.78
20/04/2020,273.72
21/04/2020,268.09
22/04/2020,271.38
23/04/2020,271.5
24/04/2020,271.24
27/04/2020,272.43
28/04/2020,273.24
29/04/2020,274.4
30/04/2020,271.54
01/05/2020,268.36
04/05/2020,267.75
05/05/2020,269.11
06/05/2020,271.04
07/05/2020,273.83
08/05/2020,273.83
11/05/2020,275.12
12/05/2020,273.29
13/05/2020,271.87
14/05/2020,270.65
15/05/2020,268.85
18/05/2020,276.25
19/05/2020,277.55
20/05/2020,281.52
21/05/2020,279.88
22/05/2020,275.6
26/05/2020,278.4
27/05/2020,274.65
28/05/2020,277.38
29/05/2020,280.34
01/06/2020,282.89
02/06/2020,285.38
03/06/2020,286.58
04/06/2020,287.07
05/06/2020,293.04
08/06/2020,293.98
09/06/2020,295.31
10/06/2020,299.94
11/06/2020,294.33
12/06/2020,293.49
15/06/2020,291.2
16/06/2020,293.95
17/06/2020,295.91
18/06/2020,297.32
19/06/2020,297.21
22/06/2020,298.27
23/06/2020,297.49
24/06/2020,295.26
25/06/2020,295.69
26/06/2020,299.46
29/06/2020,300.52
30/06/2020,301.85
01/07/2020,302.85
02/07/2020,303.44
06/07/2020,306.57
07/07/2020,308.44
08/07/2020,312.14
09/07/2020,313.9
10/07/2020,319.1
13/07/2020,324.32
14/07/2020,321.17
15/07/2020,318.3
16/07/2020,318.84
17/07/2020,317.16
20/07/2020,318.68
21/07/2020,322.86
22/07/2020,320.11
23/07/2020,323.63
24/07/2020,320.16
27/07/2020,321.27
28/07/2020,323.69
29/07/2020,324.78
30/07/2020,323.08
31/07/2020,322.78
03/08/2020,327.07
04/08/2020,328.02
05/08/2020,330.87
06/08/2020,331.58
07/08/2020,326.62
10/08/2020,329.2
11/08/2020,330.06
12/08/2020,330.97
13/08/2020,324.97
14/08/2020,326.84
17/08/2020,330.71
18/08/2020,335.03
19/08/2020,340
20/08/2020,337.24
21/08/2020,332.61
24/08/2020,333.76
25/08/2020,335.01
26/08/2020,336.67
27/08/2020,337.69
28/08/2020,340.61
31/08/2020,340.61
01/09/2020,342.84
02/09/2020,340.71
03/09/2020,335.96
04/09/2020,339.86
08/09/2020,336.79
09/09/2020,337.94
10/09/2020,336.6
11/09/2020,338.74
14/09/2020,342.5
15/09/2020,340.9
16/09/2020,341.95
17/09/2020,340.94
18/09/2020,342.42
21/09/2020,336.83
22/09/2020,338.76
23/09/2020,332.19
24/09/2020,328.48
25/09/2020,329.27
28/09/2020,332.75
29/09/2020,333.29
30/09/2020,333.83
01/10/2020,324.13
02/10/2020,329.44
05/10/2020,329.69
06/10/2020,329.71
07/10/2020,334.71
08/10/2020,336.46
09/10/2020,342.96
12/10/2020,343.75
13/10/2020,341.92
14/10/2020,342.33
15/10/2020,343.09
16/10/2020,344.25
19/10/2020,344.78
20/10/2020,347.5
21/10/2020,350.96
22/10/2020,349.59
23/10/2020,347.42
26/10/2020,344.08
27/10/2020,344.67
28/10/2020,342.53
29/10/2020,342.17
30/10/2020,343.72
02/11/2020,345.74
03/11/2020,350.2
04/11/2020,351.28
05/11/2020,351.38
06/11/2020,353.44
09/11/2020,353.02
10/11/2020,354.8
11/11/2020,354.62
12/11/2020,356.77
13/11/2020,357.88
16/11/2020,362.65
17/11/2020,363.85
18/11/2020,366.42
19/11/2020,366.73
20/11/2020,372.27
23/11/2020,367.38
24/11/2020,371.82
25/11/2020,370.56
27/11/2020,378.91
30/11/2020,382.39
01/12/2020,386.36
02/12/2020,384.05
03/12/2020,382.16
04/12/2020,385.71
07/12/2020,383.53
08/12/2020,382.22
09/12/2020,387.17
10/12/2020,393.52
11/12/2020,387.42
14/12/2020,389.17
15/12/2020,388.62
16/12/2020,390.04
17/12/2020,393.43
18/12/2020,395.34
21/12/2020,388.21
22/12/2020,382.34
23/12/2020,386.51
24/12/2020,387.36
28/12/2020,387.36
29/12/2020,385.47
30/12/2020,385.85
31/12/2020,381.92
04/01/2021,389.84
05/01/2021,394.72
06/01/2021,395.86
07/01/2021,399.4
08/01/2021,395.2
11/01/2021,386.56
12/01/2021,391.72
13/01/2021,392.46
14/01/2021,393.66
15/01/2021,388.88
19/01/2021,387.63
20/01/2021,391.49
21/01/2021,392.1
22/01/2021,391.43
25/01/2021,391.7
26/01/2021,392.36
27/01/2021,384.81
28/01/2021,385.2
29/01/2021,383.86
01/02/2021,382.31
02/02/2021,381.48
03/02/2021,383.7
04/02/2021,384.76
05/02/2021,389.61
08/02/2021,393.55
09/02/2021,398.66
10/02/2021,404.75
11/02/2021,405.25
12/02/2021,407.69
16/02/2021,409.23
17/02/2021,410.38
18/02/2021,416.66
19/02/2021,425.87
22/02/2021,432.08
23/02/2021,431.97
24/02/2021,437.22
25/02/2021,442.63
26/02/2021,426.47
01/03/2021,424.82
02/03/2021,433.46
03/03/2021,427.34
04/03/2021,416.79
05/03/2021,418.77
08/03/2021,420.48
09/03/2021,414.87
10/03/2021,416.29
11/03/2021,422.41
12/03/2021,422.16
15/03/2021,427.52
16/03/2021,421.43
17/03/2021,425.32
18/03/2021,423.85
19/03/2021,428.51
22/03/2021,430.81
23/03/2021,423.37
24/03/2021,425.19
25/03/2021,419.4
26/03/2021,428.23
29/03/2021,423.67
30/03/2021,418.75
31/03/2021,418.1
01/04/2021,418.69
05/04/2021,418.69
06/04/2021,428.65
07/04/2021,425.4
08/04/2021,429.43
09/04/2021,425.77
12/04/2021,422.33
13/04/2021,425.77
14/04/2021,432.64
15/04/2021,438.92
16/04/2021,436.03
19/04/2021,440.09
20/04/2021,436.74
21/04/2021,443.25
22/04/2021,442.41
23/04/2021,446.96
26/04/2021,455.28
27/04/2021,457.84
28/04/2021,459.43
29/04/2021,460.53
30/04/2021,459.2
03/05/2021,459.2
04/05/2021,465.12
05/05/2021,465.42
06/05/2021,471.98
07/05/2021,483.77
10/05/2021,481.23
11/05/2021,483.03
12/05/2021,479.12
13/05/2021,473.13
14/05/2021,472.19
17/05/2021,479.54
18/05/2021,479.84
19/05/2021,463.81
20/05/2021,464.08
21/05/2021,457.98
24/05/2021,460.09
25/05/2021,458.96
26/05/2021,462.59
27/05/2021,475.49
28/05/2021,476.75
01/06/2021,475.86
02/06/2021,472.55
03/06/2021,459.65
04/06/2021,466.66
07/06/2021,463.44
08/06/2021,467.37
09/06/2021,468.74
10/06/2021,467.65
11/06/2021,470.38
14/06/2021,471.94
15/06/2021,459.45
16/06/2021,461.89
17/06/2021,446.71
18/06/2021,441.18
21/06/2021,443.73
22/06/2021,448.74
23/06/2021,454.8
24/06/2021,454.87
25/06/2021,457.88
28/06/2021,457.31
29/06/2021,461.77
30/06/2021,460.27
01/07/2021,457.43
02/07/2021,462.67
06/07/2021,458.12
07/07/2021,460.14
08/07/2021,453.59
09/07/2021,463.3
12/07/2021,459.79
13/07/2021,462.66
14/07/2021,459.88
15/07/2021,463.88
16/07/2021,461.66
19/07/2021,451.31
20/07/2021,457.15
21/07/2021,456.2
22/07/2021,461.58
23/07/2021,465.46
26/07/2021,474.13
27/07/2021,469.94
28/07/2021,471.76
29/07/2021,479.65
30/07/2021,477.11
02/08/2021,478.1
03/08/2021,471.32
04/08/2021,468.03
05/08/2021,470.79
06/08/2021,467.51
09/08/2021,461.79
10/08/2021,468.34
11/08/2021,470.65
12/08/2021,469.29
13/08/2021,473.36
16/08/2021,470.06
17/08/2021,465
18/08/2021,456.68
19/08/2021,451.16
20/08/2021,454.15
23/08/2021,464.27
24/08/2021,468.53
25/08/2021,468.88
26/08/2021,466.38
27/08/2021,471.11
30/08/2021,471.11
31/08/2021,478.56
01/09/2021,472.09
02/09/2021,473.67
03/09/2021,477.61
07/09/2021,477.22
08/09/2021,477.89
09/09/2021,485.17
10/09/2021,498.57
13/09/2021,491.91
14/09/2021,484.4
15/09/2021,493.06
16/09/2021,485.16
17/09/2021,484.39
20/09/2021,474.87
21/09/2021,471.25
22/09/2021,485.11
23/09/2021,486.78
24/09/2021,486.94
27/09/2021,483.88
28/09/2021,485.01
29/09/2021,479.48
30/09/2021,469.16
01/10/2021,473.72
04/10/2021,480.54
05/10/2021,480.1
06/10/2021,475.38
07/10/2021,484.46
08/10/2021,491.26
11/10/2021,502.47
12/10/2021,500.89
13/10/2021,507.28
14/10/2021,520.63
15/10/2021,536.03
18/10/2021,533.01
19/10/2021,526.44
20/10/2021,528.2
21/10/2021,506.91
22/10/2021,501.48
25/10/2021,506.87
26/10/2021,501.18
27/10/2021,483.77
28/10/2021,492.26
29/10/2021,486.19
01/11/2021,489.1
02/11/2021,484.61
03/11/2021,479.6
04/11/2021,471.98
05/11/2021,473.41
08/11/2021,480.16
09/11/2021,474.23
10/11/2021,475.67
11/11/2021,483.13
12/11/2021,487.38
15/11/2021,482.17
16/11/2021,473.99
17/11/2021,472.37
18/11/2021,473.63
19/11/2021,484.24
22/11/2021,488.91
23/11/2021,486.01
24/11/2021,492.09
26/11/2021,475.16
29/11/2021,479.14
30/11/2021,475.28
01/12/2021,478
02/12/2021,474.59
03/12/2021,473.82
06/12/2021,473.12
07/12/2021,478.31
08/12/2021,482.03
09/12/2021,478.33
10/12/2021,476.42
13/12/2021,477.94
14/12/2021,474.73
15/12/2021,467.13
16/12/2021,481.88
17/12/2021,483.85
20/12/2021,479.11
21/12/2021,488.03
22/12/2021,496.7
23/12/2021,497.59
27/12/2021,496.35
28/12/2021,496.35
29/12/2021,497.59
30/12/2021,499.08
31/12/2021,499.17
03/01/2022,499.17
04/01/2022,503.8
05/01/2022,505.87
06/01/2022,501.3
07/01/2022,503.75
10/01/2022,502.01
11/01/2022,511.12
12/01/2022,520.56
13/01/2022,516.71
14/01/2022,512.6
18/01/2022,514.62
19/01/2022,522.66
20/01/2022,531.92
21/01/2022,527.13
24/01/2022,518.09
25/01/2022,522.96
26/01/2022,526.84
27/01/2022,523.98
28/01/2022,515.93
31/01/2022,511.68
01/02/2022,517.38
02/02/2022,517.94
03/02/2022,520.9
04/02/2022,522.92
07/02/2022,526.17
08/02/2022,527.55
09/02/2022,540.73
10/02/2022,545.7
11/02/2022,527.73
14/02/2022,533.97
15/02/2022,535.15
16/02/2022,539.21
17/02/2022,540.07
18/02/2022,540.55
22/02/2022,543.9
23/02/2022,540.98
24/02/2022,549.34
25/02/2022,546.29
28/02/2022,547.63
01/03/2022,561.43
02/03/2022,572.55
03/03/2022,588.84
04/03/2022,610.65
07/03/2022,629.92
08/03/2022,613.06
09/03/2022,595.57
10/03/2022,602.3
11/03/2022,606.34
14/03/2022,589.47
15/03/2022,585.9
16/03/2022,584.16
17/03/2022,589.68
18/03/2022,581.88
21/03/2022,580.76
22/03/2022,572.07
23/03/2022,597.44
24/03/2022,600.69
25/03/2022,595.31
28/03/2022,592.44
29/03/2022,578.48
30/03/2022,590.89
31/03/2022,586.13
01/04/2022,587.62
04/04/2022,589.79
05/04/2022,589.63
06/04/2022,584.51
07/04/2022,580.08
08/04/2022,581.28
11/04/2022,568.34
12/04/2022,573.94
13/04/2022,573.74
14/04/2022,576.91
